//=============================================================================================================================================================================================================================================================================================================================================================
// Item - EX Legacy Season 6 Episode XIV
//=============================================================================================================================================================================================================================================================================================================================================================
0
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
5        0      0       1       4        1            1            1          "Legendary Staff"                    59      29          31          25            0            66                59                0          50            0              0           0             0               3      1       0       0       1       0       0       0
6        0      0       1       4        1            1            1          "Staff of Resurrection"              70      35          39          25            0            70                70                0          60            10             0           0             0               3      1       0       0       1       0       0       0
7        0      0       2       4        1            1            0          "Chaos Lighting Staff"               75      47          48          30            0            70                94                0          60            10             0           0             0               0      1       0       0       1       0       0       0
8        0      0       2       4        1            1            1          "Staff of Destruction"               90      50          54          30            0            85                101               0          60            10             0           0             0               3      1       0       0       1       0       0       0
9        0      0       1       4        1            1            1          "Dragon Soul Staff"                  100     46          48          30            0            91                92                0          52            16             0           0             0               3      2       0       0       0       0       0       0
10       0      0       1       4        1            1            0          "Divine Staff of Archangel"          104     153         165         30            0            182               156               0          36            4              0           0             0               0      1       0       0       1       0       0       0
11       0      0       1       4        1            1            1          "Staff of Kundun"                    140     55          61          30            0            95                110               0          45            16             0           0             0               0      2       0       0       1       0       0       0
12       0      0       1       4        1            1            0          "Grand Viper Staff"                  147     66          74          30            0            100               130               380        39            13             0           0             0               0      2       0       0       0       0       0       0
13       0      0       1       4        1            1            1          "Platina Staff"                      110     51          53          30            0            78                120               0          50            16             0           0             0               0      2       0       0       0       0       0       0
14       0      0       1       4        1            1            1          "Mystery Stick"                      28      17          18          25            0            50                34                0          34            14             0           0             0               0      0       0       0       0       0       1       0
15       0      0       1       4        1            1            1          "Violent Wind Stick"                 42      23          25          25            0            60                46                0          33            17             0           0             0               0      0       0       0       0       0       1       0
16       0      0       1       4        1            1            1          "Red Wing Stick"                     59      29          31          25            0            65                59                0          36            14             0           0             0               0      0       0       0       0       0       1       0
17       0      0       1       4        1            1            1          "Ancient Stick"                      78      38          40          25            0            81                76                0          50            19             0           0             0               0      0       0       0       0       0       1       0
18       0      0       1       4        1            1            1          "Demonic Stick"                      100     46          48          30            0            91                92                0          54            15             0           0             0               0      0       0       0       0       0       2       0
19       0      0       1       4        1            1            0          "Storm Blitz Stick"                  110     51          53          30            0            95                110               380        64            15             0           0             0               0      0       0       0       0       0       2       0
20       0      0       1       4        1            1            0          "Eternal Wing Stick"                 147     66          74          30            0            100               106               0          57            13             0           0             0               0      0       0       0       0       0       2       0
21       1      223     1       2        1            1            1          "Book of Samut"                      52      0           0           25            0            60                46                0          0             20             135         0             0               0      0       0       0       0       0       1       0
22       1      224     1       2        1            1            1          "Book of Neil"                       59      0           0           25            0            65                59                0          0             25             168         0             0               0      0       0       0       0       0       1       0
23       1      225     1       2        1            1            1          "Book of Lagle"                      65      0           0           25            0            50                72                0          0             30             201         0             0               0      0       0       0       0       0       1       0
30       0      0       1       4        1            1            0          "Deadly Staff"                       138     57          59          30            0            91                126               0          47            18             0           0             0               0      0       0       0       1       0       0       0
31       0      0       1       4        1            1            0          "Inberial Staff"                     137     57          61          30            0            182               124               0          48            14             0           0             0               0      2       0       0       0       0       0       0
32       0      0       1       4        1            1            0          "Merlin Stick"                       130     70          80          30            0            182               135               0          53            15             0           0             0               0      0       0       0       0       0       3       0
33       0      0       1       4        1            1            0          "Chromatic Staff"                    147     55          57          30            0            78                124               0          50            12             0           0             0               0      2       0       0       1       0       0       0
34       0      0       1       4        1            1            0          "Raven Stick"                        147     70          78          30            0            98                130               0          50            14             0           0             0               0      0       0       0       0       0       2       0
36	 0	0	1	4	 0	      0	           0	      "Divine Stick of Archangel"	   104	   153	       165	   30	         0	      182	        146	          0	     55	           13	          0	      0	            0	            0	   0	   0	   0	   0	   0	   1	   0
//--
35       0      0       1       3        1            1            0          "Miracle Staff"                      149     67          69          30            0            80                130               0          46            13             0           0             0               0      3       0       0       3       0       0       0
37       0      0       1       4        1            1            0          "Spite Staff"                        149     69          71          25            0            110               136               0          48            11             0           0             0               0      3       0       0       3       0       0       0
42       0      0       1       3        1            1            0          "Summon Spirit Stick"                149     59          61          30            0            130               111               0          56            14             0           0             0               0      0       0       0       0       0       3       0
//--
41       0      0       1       4        1            1            0          "Bloodangel Staff"                   100     84          90          30            0            100               128               0          61            18             0           0             0               3      3       0       0       3       0       0       0
43       0      0       1       3        1            1            0          "Bloodangel Stick"                   098     75          81          30            0            150               128               0          76            20             0           0             0               3      0       0       0       0       0       3       0
//--
49       0      0       1       4        1            1            0          "B. Divine Staff of Archangel"       200     132         144         30            0            182               163               0          26            4              0           0             0               0      1       0       0       1       0       0       0
50       0      0       1       4        1            1            0          "B. Divine Stick of Archangel"       200     132         144         30            0            182               163               0          25            11             0           0             0               0      0       0       0       0       0       1       0
//--
51       0      0       1       4        1            1            0          "Darkangel Staff"                    100     111         117         30            0            100               133               0          64            19             0           0             0               3      3       0       0       3       0       0       0
52       0      0       1       3        1            1            0          "Darkangel Stick"                    098     102         108         30            0            100               133               0          80            21             0           0             0               3      0       0       0       0       0       3       0
//--
53       0      0       1       4        1            1            0          "Holyangel Staff"                    100     123         136         30            0            100               138               0          67            20             0           0             0               3      3       0       0       3       0       0       0
54       0      0       1       3        1            1            0          "Holyangel Stick"                    098     115         123         30            0            100               138               0          84            22             0           0             0               3      0       0       0       0       0       3       0
//--
55       0      0       1       4        1            1            0          "Soul Staff"                         100     141         154         30            0            100               142               0          70            21             0           0             0               3      3       0       0       3       0       0       0
56       0      0       1       3        1            1            0          "Soul Stick"                         098     130         138         30            0            100               142               0          88            23             0           0             0               3      0       0       0       0       0       3       0
//--
57       0      0       1       4        1            1            0          "Blue Eye Staff"                     096     142         155         30            0            100               142               0          70            21             0           0             0               3      3       0       0       3       0       0       0
58       0      0       1       3        1            1            0          "Blue Eye Stick"                     094     131         139         30            0            100               142               0          88            23             0           0             0               3      0       0       0       0       0       3       0

//============================================================================================================================================================================================================================================================================================================================================================
// Sealed Bloodangel Weapon Mix
//============================================================================================================================================================================================================================================================================================================================================================
141      *      0       1       3        1            1            0          "Sealed Bloodangel Staff"            10      0          0            0             0            1                 0                 0          0             0              0           0             0               0      3       0       0       0       0       0       0
143      *      0       1       2        1            1            0          "Sealed Bloodangel Stick"            10      0          0            0             0            1                 0                 0          0             0              0           0             0               0      0       0       0       0       0       3       0

//============================================================================================================================================================================================================================================================================================================================================================
// Elemental Edition
//============================================================================================================================================================================================================================================================================================================================================================
179      0      0       1       4        1            1            0          "Fire Grand Viper Staff"             147     66         74           30            0            100               130               380        39            13             0           0             0               0      2       0       0       0       0       0       0
180      0      0       1       4        1            1            0          "Water Grand Viper Staff"            147     66         74           30            0            100               130               380        39            13             0           0             0               0      2       0       0       0       0       0       0
181      0      0       1       4        1            1            0          "Wind Grand Viper Staff"             147     66         74           30            0            100               130               380        39            13             0           0             0               0      2       0       0       0       0       0       0
182      0      0       1       4        1            1            0          "Earth Grand Viper Staff"            147     66         74           30            0            100               130               380        39            13             0           0             0               0      2       0       0       0       0       0       0
183      0      0       1       4        1            1            0          "Fire Storm Blitz Stick"             110     51         53           30            0            95                110               380        64            15             0           0             0               0      0       0       0       0       0       2       0
184      0      0       1       4        1            1            0          "Water Storm Blitz Stick"            110     51         53           30            0            95                110               380        64            15             0           0             0               0      0       0       0       0       0       2       0
185      0      0       1       4        1            1            0          "Wind Storm Blitz Stick"             110     51         53           30            0            95                110               380        64            15             0           0             0               0      0       0       0       0       0       2       0
186      0      0       1       4        1            1            0          "Earth Storm Blitz Stick"            110     51         53           30            0            95                110               380        64            15             0           0             0               0      0       0       0       0       0       2       0
187      0      0       1       4        1            1            0          "Dark Grand Viper Staff"             147     66         74           30            0            100               130               380        39            13             0           0             0               0      2       0       0       0       0       0       0
188      0      0       1       4        1            1            0          "Dark Storm Blitz Stick"             110     51         53           30            0            95                110               380        64            15             0           0             0               0      0       0       0       0       0       2       0
end

6
//=================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   DefenseSuccessRate   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//=================================================================================================================================================================================================================================================================================================================
0        1      0       2       2        1            1            1          "Small Shield"                       3       1         3                    22           0          70            0              0           0             0               4      1       1       1       1       1       0       0
1        1      0       2       2        1            1            1          "Horn Shield"                        9       3         9                    28           0          100           0              0           0             0               4      0       1       0       1       1       0       0
2        1      0       2       2        1            1            1          "Kite Shield"                        12      4         12                   32           0          110           0              0           0             0               4      0       1       0       1       1       0       0
3        1      0       2       2        1            1            1          "Elven Shield"                       21      8         21                   36           0          30            100            0           0             0               4      0       0       1       0       0       0       0
4        1      18      2       2        1            1            1          "Buckler"                            6       2         6                    24           0          80            0              0           0             0               4      1       1       1       1       1       0       0
5        1      18      2       2        1            1            1          "Dragon Slayer Shield"               35      10        36                   44           0          100           40             0           0             0               4      0       1       0       1       1       0       0
6        1      18      2       2        1            1            1          "Skull Shield"                       15      5         15                   34           0          110           0              0           0             0               4      1       1       1       1       1       0       0
7        1      18      2       2        1            1            1          "Spiked Shield"                      30      9         30                   40           0          130           0              0           0             0               4      0       1       0       1       1       0       0
8        1      18      2       2        1            1            1          "Tower Shield"                       40      11        40                   46           0          130           0              0           0             0               4      0       1       1       1       1       0       0
9        1      18      2       2        1            1            1          "Plate Shield"                       25      8         25                   38           0          120           0              0           0             0               4      0       1       0       1       1       0       0
11       1      18      2       2        1            1            1          "Serpent Shield"                     45      12        45                   48           0          130           0              0           0             0               4      0       1       1       1       1       0       0
12       1      18      2       2        1            1            1          "Bronze Shield"                      54      13        54                   52           0          140           0              0           0             0               4      0       1       0       1       0       0       0
13       1      18      2       2        1            1            1          "Dragon Shield"                      60      14        60                   60           0          120           40             0           0             0               4      0       1       0       1       0       0       0
14       1      0       2       3        1            1            1          "Legendary Shield"                   48      7         48                   50           0          90            25             0           0             0               4      1       0       1       1       0       0       0
15       1      0       2       3        1            1            1          "Grand Soul Shield"                  74      12        55                   55           0          70            23             0           0             0               4      2       0       0       0       0       0       0
16       1      0       2       2        1            1            1          "Elemental Shield"                   66      11        28                   51           0          30            60             30          0             0               4      0       0       2       0       0       0       0
17       1      18      2       2        1            1            0          "Crimson Glory"                      104     19        90                   51           0          95            48             0           0             0               4      0       2       0       0       0       0       0
18       1      18      2       2        1            1            0          "Salamander Shield"                  102     20        96                   51           0          80            61             0           0             0               4      0       0       0       1       0       0       0
19       1      0       2       2        1            1            0          "Frost Barrier"                      99      14        58                   51           0          26            53             26          0             0               4      0       0       2       0       0       0       0
20       1      18      2       2        1            1            0          "Guardian Shield"                    106     12        30                   51           0          54            18             0           0             0               4      2       0       0       0       0       0       0
21       1      18      2       2        1            1            0          "Cross Shield"                       70      16        75                   65           0          140           55             0           0             0               4      0       0       0       0       1       0       0
//--
22       1      18      2       2        1            1            0          "Lazy Wind Shield"                   129     36        108                  90           0          67            56             0           0             0               0      0       3       0       0       0       0       0
23       1      0       2       2        1            1            0          "Light Lord Shield"                  124     27        81                   90           0          16            35             35          0             0               0      0       0       3       0       0       0       0
24       1      0       2       2        1            1            0          "Dark Devil Shield"                  122     25        75                   90           0          52            15             0           0             0               0      3       0       0       0       0       0       0
25       1      18      2       2        1            1            0          "Magic Knight Shield"                128     29        87                   90           0          53            18             0           0             0               0      0       0       0       3       0       0       0
26       1      18      2       2        1            1            0          "Ambition Shield"                    131     27        81                   90           0          104           24             0           0             0               0      0       0       0       0       3       0       0
end

7
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
0        2      0       2       2        1            1            1          "Bronze Helm"                        16      9         0              34           0          80            20             0           0             0               4      0       1       0       0       1       0       0
1        2      0       2       2        1            1            1          "Dragon Helm"                        57      24        0              68           0          120           30             0           0             0               4      0       1       0       0       0       0       0
2        2      0       2       2        1            1            1          "Pad Helm"                           5       4         0              28           0          20            0              0           0             0               4      1       0       0       0       0       0       0
3        2      0       2       2        1            1            1          "Legendary Helm"                     50      18        0              42           0          30            0              0           0             0               4      1       0       0       0       0       0       0
4        2      0       2       2        1            1            1          "Bone Helm"                          18      9         0              30           0          30            0              0           0             0               4      1       0       0       0       0       0       0
5        2      0       2       2        1            1            1          "Leather Helm"                       6       5         0              30           0          80            0              0           0             0               4      0       1       0       0       1       0       0
6        2      0       2       2        1            1            1          "Scale Helm"                         26      12        0              40           0          110           0              0           0             0               4      0       1       0       0       1       0       1
7        2      0       2       2        1            1            1          "Sphinx Mask"                        32      13        0              36           0          30            0              0           0             0               4      1       0       0       0       0       0       0
8        2      0       2       2        1            1            1          "Brass Helm"                         36      17        0              44           0          100           30             0           0             0               4      0       1       0       0       0       0       1
9        2      0       2       2        1            1            1          "Plate Helm"                         46      20        0              50           0          130           0              0           0             0               4      0       1       0       0       0       0       1
10       2      0       2       2        1            1            1          "Vine Helm"                          6       4         0              22           0          30            60             0           0             0               4      0       0       1       0       0       0       0
11       2      0       2       2        1            1            1          "Silk Helm"                          16      8         0              26           0          30            70             0           0             0               4      0       0       1       0       0       0       0
12       2      0       2       2        1            1            1          "Wind Helm"                          28      12        0              32           0          30            80             0           0             0               4      0       0       1       0       0       0       0
13       2      0       2       2        1            1            1          "Spirit Helm"                        40      16        0              38           0          40            80             0           0             0               4      0       0       1       0       0       0       0
14       2      0       2       2        1            1            1          "Guardian Helm"                      53      23        0              45           0          40            80             0           0             0               4      0       0       1       0       0       0       0
16       2      0       2       2        1            1            1          "Black Dragon Helm"                  82      30        0              74           0          170           60             0           0             0               4      0       1       0       0       0       0       0
17       2      0       2       2        1            1            1          "Dark Phoenix Helm"                  92      43        0              80           0          205           62             0           0             0               4      0       2       0       0       0       0       0
18       2      0       2       2        1            1            1          "Grand Soul Helm"                    81      27        0              67           0          59            20             0           0             0               4      2       0       0       0       0       0       0
19       2      0       2       2        1            1            1          "Holy Spirit Helm"                   85      37        0              74           0          50            110            0           0             0               4      0       0       2       0       0       0       0
21       2      0       2       2        1            1            1          "Great Dragon Helm"                  104     53        0              86           0          200           58             0           0             0               4      0       2       0       0       0       0       0
22       2      0       2       2        1            1            1          "Dark Soul Helm"                     110     36        0              75           0          55            18             0           0             0               4      2       0       0       0       0       0       0
24       2      0       2       2        1            1            1          "Red Spirit Helm"                    93      46        0              80           0          52            115            0           0             0               4      0       0       2       0       0       0       0
25       2      0       2       2        1            1            1          "Light Plate Mask"                   46      20        0              42           0          70            20             0           0             0               4      0       0       0       0       1       0       0
26       2      0       2       2        1            1            1          "Adamantine Mask"                    66      24        0              56           0          77            21             0           0             0               4      0       0       0       0       1       0       0
27       2      0       2       2        1            1            1          "Dark Steel Mask"                    86      26        0              70           0          84            22             0           0             0               4      0       0       0       0       1       0       0
28       2      0       2       2        1            1            1          "Dark Master Mask"                   106     34        0              78           0          80            21             0           0             0               4      0       0       0       0       1       0       0
29       2      0       2       2        1            1            0          "Dragon Knight Helm"                 130     66        0              90           380        170           60             0           0             0               0      0       2       0       0       0       0       0
30       2      0       2       2        1            1            0          "Venom Mist Helm"                    126     48        0              86           380        44            15             0           0             0               0      2       0       0       0       0       0       0
31       2      0       2       2        1            1            0          "Sylphid Ray Helm"                   126     57        0              86           380        38            80             0           0             0               0      0       0       2       0       0       0       0
33       2      0       2       2        1            1            0          "Sunlight Mask"                      130     46        0              82           380        62            16             0           0             0               0      0       0       0       0       1       0       0
34       2      0       2       2        1            1            1          "Ashcrow Helm"                       67      27        0              72           0          160           50             0           0             0               4      0       1       0       0       0       0       0
35       2      0       2       2        1            1            1          "Eclipse Helm"                       67      22        0              54           0          53            12             0           0             0               4      1       0       0       0       0       0       0
36       2      0       2       2        1            1            1          "Iris Helm"                          67      30        0              59           0          50            70             0           0             0               4      0       0       1       0       0       0       0
38       2      0       2       2        1            1            1          "Glorious Mask"                      97      30        0              74           0          80            21             0           0             0               4      0       0       0       0       1       0       0
39       2      0       2       2        1            1            1          "Violent Wind Helm"                  28      13        0              36           0          31            0              0           0             0               4      0       0       0       0       0       1       0
40       2      0       2       2        1            1            1          "Red Wing Helm"                      50      18        0              42           0          26            4              0           0             0               4      0       0       0       0       0       1       0
41       2      0       2       2        1            1            1          "Ancient Helm"                       68      24        0              54           0          52            16             0           0             0               4      0       0       0       0       0       1       0
42       2      0       2       2        1            1            1          "Demonic Helm"                       81      32        0              67           0          60            20             0           0             0               4      0       0       0       0       0       2       0
43       2      0       2       2        1            1            0          "Storm Blitz Helm"                   110     43        0              75           380        56            20             0           0             0               0      0       0       0       0       0       2       0
44       2      0       2       2        1            1            0          "Eternal Wing Helm"                  116     35        0              86           0          62            20             170         0             0               0      0       0       0       0       0       2       0
45       2      0       2       2        1            1            0          "Titan Helm"                         111     63        0              86           0          222           32             0           0             0               0      0       1       0       0       0       0       0
46       2      0       2       2        1            1            0          "Brave Helm"                         107     51        0              86           0          74            162            0           0             0               0      0       1       0       0       0       0       0
49       2      0       2       2        1            1            0          "Seraphim Helm"                      111     50        0              86           0          55            197            0           0             0               0      0       0       1       0       0       0       0
50       2      0       2       2        1            1            0          "Divine Helm"                        104     44        0              86           0          32            29             138         0             0               0      0       0       1       0       0       0       0
51       2      0       2       2        1            1            0          "Royal Mask"                         111     44        0              86           0          105           38             0           0             0               0      0       0       0       0       1       0       0
52       2      0       2       2        1            1            0          "Hades Helm"                         109     41        0              86           0          60            15             181         0             0               0      1       0       0       0       0       0       0
53       2      0       2       2        1            1            0          "Queen Helm"                         112     80        0              86           0          60            15             3           0             0               0      0       0       0       0       0       3       0
//--
59       2      0       2       2        1            1            1          "Sacred Fire Helm"                   54      24        0              52           0          85            0              0           75            0               4      0       0       0       0       0       0       1
60       2      0       2       2        1            1            1          "Storm Jahad Helm"                   70      32        0              68           0          100           0              0           90            0               4      0       0       0       0       0       0       1
61       2      0       2       2        1            1            1          "Piercing Groove Helm"               90      45        0              82           0          115           0              0           100           0               4      0       0       0       0       0       0       1
//--
62       2      0       2       2        1            1            0          "Scale Helm"                         26      16        0              255          10         0             0              0           0             0               4      0       1       0       0       1       0       1
63       2      0       2       2        1            1            0          "Silk Helm"                          16      11        0              255          10         0             0              0           0             0               4      0       0       1       0       0       0       0
64       2      0       2       2        1            1            0          "Sphinx Helm"                        32      17        0              255          10         0             0              0           0             0               4      1       0       0       0       0       0       0
